TaskID,Start,End,Title,Description,OwnerID,IsAllDay,Recurrence
32,2013-06-24 13:30:00.000,2013-06-24 14:30:00.000,Job Interview - Bernard Atkins,Helpdesk,1,0,NULL
34,2013-06-24 15:00:00.000,2013-06-24 17:30:00.000,Review Job Applications,,1,0,NULL
35,2013-06-23 00:00:00.000,2013-06-23 00:00:00.000,Grand Canyon tour,,1,1,NULL
40,2013-06-24 13:30:00.000,2013-06-24 18:00:00.000,Install new laptops in conference rooms,,3,0,NULL
66,2013-06-29 08:00:00.000,2013-06-29 06:00:00.000,Bob's Birthday,,3,1,NULL
68,2013-06-24 08:30:00.000,2013-06-24 09:00:00.000,Breakfast with Tom,,1,0,NULL
69,2013-06-24 10:00:00.000,2013-06-24 12:00:00.000,Team planning meeting,,2,0,NULL
70,2013-06-24 16:00:00.000,2013-06-24 16:30:00.000,Support Phone Call,,2,0,NULL
71,2013-06-25 09:00:00.000,2013-06-25 10:00:00.000,Business breakfast with Caroline,,2,0,NULL
72,2013-06-25 11:00:00.000,2013-06-25 11:30:00.000,Discuss preojects' deadlines,,2,0,NULL
73,2013-06-25 15:00:00.000,2013-06-25 16:00:00.000,Support Meeting,,2,0,NULL
74,2013-06-25 18:30:00.000,2013-06-25 20:00:00.000,Dine with Mathew,,2,0,NULL
79,2013-06-26 09:00:00.000,2013-06-26 10:00:00.000,Banking,,2,0,NULL
80,2013-06-25 10:00:00.000,2013-06-25 12:00:00.000,Software updates,,3,0,NULL
81,2013-06-25 16:30:00.000,2013-06-25 18:00:00.000,UPS maintenance,,3,0,NULL
82,2013-06-26 11:30:00.000,2013-06-26 12:00:00.000,Support Call,,2,0,NULL
83,2013-06-26 13:30:00.000,2013-06-26 14:30:00.000,Phone Sync with NY office,,3,0,NULL
84,2013-06-26 15:00:00.000,2013-06-26 16:00:00.000,Phone Sync with Boston Office,,3,0,NULL
85,2013-06-26 18:30:00.000,2013-06-26 21:30:00.000,Server maintenance,,3,0,NULL
86,2013-06-28 13:30:00.000,2013-06-28 15:30:00.000,Status meeting,,2,0,NULL
87,2013-06-27 10:30:00.000,2013-06-27 11:30:00.000,Helpdesk status meeting,,3,0,NULL
88,2013-06-27 12:00:00.000,2013-06-27 13:00:00.000,Business Lunch,,2,0,NULL
89,2013-06-27 14:00:00.000,2013-06-27 15:30:00.000,Employee database update,,3,0,NULL
90,2013-06-27 06:00:00.000,2013-06-27 07:00:00.000,Website upload,,3,0,NULL
91,2013-06-27 17:00:00.000,2013-06-27 18:30:00.000,Meeting with marketing guys,,2,0,NULL
92,2013-06-28 10:30:00.000,2013-06-28 11:30:00.000,Meeting with Internet provider,,3,0,NULL
93,2013-06-29 20:00:00.000,2013-06-29 23:30:00.000,Bob's Birthday Party,,3,0,NULL
95,2013-06-03 18:30:00.000,2013-06-03 20:00:00.000,Dance Practice,,2,0,FREQ=WEEKLY;BYDAY=MO,WE
114,2013-06-04 09:00:00.000,2013-06-04 12:00:00.000,Software updates,,3,0,
115,2013-06-04 08:00:00.000,2013-06-04 09:30:00.000,Breakfast at Starbucks,,1,0,
116,2013-06-04 14:00:00.000,2013-06-04 17:00:00.000,Performance review,,2,0,
118,2013-06-05 10:00:00.000,2013-06-05 12:00:00.000,HR seminar preparation,,1,0,
119,2013-06-05 15:00:00.000,2013-06-05 16:00:00.000,Helpdesk weekly meeting,,3,0,FREQ=WEEKLY;BYDAY=WE
120,2013-06-07 07:00:00.000,2013-06-07 07:30:00.000,Website upload,,3,0,

(55 rows affected)
