City	Country	Latitude	Longitude	Country_ISO3	Pop1950	Pop1955	Pop1960	Pop1965	Pop1970	Pop1975	Pop1980	Pop1985	Pop1990	Pop1995	Pop2000	Pop2005	Pop2010	Pop2015	Pop2020	Pop2025	Pop2050
Huainan	China	32.61	116.98	CHN	500	560	620	700	780	880	980	1100	1230	1290	1350	1420	1450	1520	1660	1810	1937
Huzhou	China	30.86	120.1	CHN	680	710	750	790	840	880	930	980	1030	1080	1140	1200	1230	1290	1420	1540	1654
Jiamusi	China	46.83	130.35	CHN	220	250	290	330	380	440	500	580	660	750	850	970	1020	1100	1230	1340	1441
Jiaozuo	China	35.24	113.22	CHN	210	240	270	310	350	400	460	530	600	670	740	820	860	920	1020	1120	1196
Jiaxing	China	30.76	120.75	CHN	450	480	510	540	580	610	650	700	740	810	880	950	990	1050	1160	1270	1359
Jilin	China	43.85	126.56	CHN	400	460	540	630	740	870	1010	1160	1320	1600	1930	2260	2400	2610	2920	3170	3376
"Jinan, Shandong"	China	36.65	116.96	CHN	600	740	920	1100	1170	1240	1310	1670	2400	2510	2620	2740	2800	2910	3180	3450	3674
"Jining, Shandong"	China	35.4	116.56	CHN	260	290	320	360	400	450	500	630	870	950	1040	1140	1190	1260	1400	1520	1632
"Jinxi, Liaoning"	China	41.11	122.05	CHN	230	270	330	400	480	580	700	940	1350	1600	1910	2270	2430	2660	2990	3250	3457
Jinzhou	China	41.1	121.13	CHN	330	370	420	470	500	530	560	630	740	800	860	920	960	1010	1120	1220	1309
"Jixi, Heilongjiang"	China	45.3	130.96	CHN	180	220	280	350	440	560	700	790	840	870	910	950	960	1010	1100	1210	1295
Kaifeng	China	34.79	114.34	CHN	350	380	410	450	490	540	580	640	690	740	790	850	870	920	1010	1110	1191
Kaohsiung	China	22.6	120.28	CHN	260	340	440	590	810	990	1160	1290	1380	1420	1470	1520	1540	1600	1740	1900	2029
Kunming	China	25.05	102.7	CHN	640	740	860	980	1100	1220	1360	1490	1610	2040	2590	2840	2930	3100	3400	3690	3928
Langfang	China	39.51	116.7	CHN	60	70	80	100	110	140	160	270	590	650	710	780	810	860	960	1050	1124
Lanzhou	China	36.11	103.59	CHN	350	430	540	670	840	1040	1300	1490	1620	1830	2070	2410	2560	2780	3120	3390	3604
Leshan	China	29.58	103.75	CHN	600	650	700	750	800	860	930	1000	1070	1090	1120	1140	1160	1200	1310	1430	1528
Lianyungang	China	41.26	119.16	CHN	120	140	170	210	250	300	370	440	540	600	680	770	810	860	970	1060	1137
Liaoyang	China	41.26	123.17	CHN	110	140	170	210	260	330	410	510	640	680	720	770	790	840	920	1010	1083
Linfen	China	36.08	111.51	CHN	100	120	140	170	200	240	280	390	580	650	720	800	830	890	990	1090	1167
"Linyi, Shandong"	China	35.05	118.31	CHN	410	490	590	710	840	1010	1210	1450	1740	1830	1930	2040	2080	2180	2380	2590	2765
Liuan	China	31.73	116.46	CHN	860	910	970	1030	1090	1160	1230	1300	1380	1460	1550	1650	1690	1770	1950	2120	2263
Liupanshui	China	26.59	104.83	CHN	400	440	480	530	580	630	690	760	830	900	990	1150	1220	1330	1490	1630	1745
Liuzhou	China	24.31	109.38	CHN	140	170	220	270	340	430	540	640	750	950	1200	1410	1500	1630	1830	2000	2131
Luoyang	China	34.67	112.36	CHN	390	450	520	600	690	800	920	1060	1200	1330	1480	1640	1720	1830	2030	2210	2361
Luzhou	China	28.88	105.43	CHN	90	110	130	160	190	230	280	340	410	710	1210	1450	1540	1670	1880	2050	2187
"Mianyang, Sichuan"	China	31.46	104.75	CHN	480	520	560	600	650	700	750	810	880	1000	1150	1320	1400	1510	1690	1840	1969
Mudanjiang	China	44.58	129.59	CHN	210	240	290	340	400	460	540	640	750	870	1000	1170	1240	1360	1520	1660	1778
Nanchang	China	28.67	115.88	CHN	340	440	560	700	790	900	1010	1130	1260	1520	1820	2190	2350	2580	2910	3170	3373
Nanchong	China	28.68	115.88	CHN	110	120	140	150	170	190	210	320	620	1030	1710	2050	2170	2360	2650	2880	3070
"Nanjing, Jiangsu"	China	32.04	118.76	CHN	970	1180	1430	1690	1810	1940	2080	2300	2610	3010	3480	3620	3680	3810	4150	4490	4771
Nanning	China	22.83	108.29	CHN	170	220	280	360	470	600	780	960	1160	1420	1740	2040	2170	2360	2640	2870	3061
Nantong	China	32	120.83	CHN	180	210	230	260	300	330	370	420	470	600	760	890	950	1030	1160	1270	1360
"Nanyang, Henan"	China	33	112.53	CHN	80	90	110	140	170	200	250	310	380	750	1510	1830	1940	2120	2370	2580	2752
Neijiang	China	29.58	105.06	CHN	140	150	170	190	210	240	270	500	1290	1340	1390	1440	1470	1520	1670	1820	1944
Ningbo	China	29.86	121.55	CHN	470	530	590	660	730	820	920	1020	1140	1330	1550	1810	1920	2090	2340	2550	2723
"Pingdingshan, Henan"	China	33.73	113.3	CHN	160	190	220	260	310	370	440	630	1000	950	900	860	850	850	920	1010	1080
"Pingxiang, Jiangxi"	China	27.63	113.85	CHN	170	190	230	260	310	360	420	490	570	660	780	900	960	1050	1180	1290	1381
Qingdao	China	36.14	120.43	CHN	890	930	970	1020	1060	1110	1150	1460	2100	2380	2700	2820	2870	2980	3250	3520	3746
Qinhuangdao	China	39.93	119.6	CHN	150	170	200	240	280	320	380	440	520	650	800	940	1000	1090	1230	1340	1440
Qiqihaer	China	47.34	123.96	CHN	720	780	850	920	1000	1090	1180	1290	1400	1470	1540	1610	1640	1710	1880	2040	2182
Quanzhou	China	24.91	118.58	CHN	220	240	270	290	320	360	400	440	480	740	1160	1380	1460	1590	1790	1950	2083
Shanghai	China	31.24	121.47	CHN	6070	6300	6540	6790	7060	7330	7610	7900	8200	10420	13240	14500	14990	15790	17210	18470	19412
Shangqiu	China	34.41	115.63	CHN	60	70	80	100	120	140	170	200	240	570	1350	1650	1750	1910	2140	2330	2487
Shantou	China	23.36	116.7	CHN	320	370	420	470	530	610	690	780	880	1050	1260	1500	1600	1760	1980	2160	2304
Shaoxing	China	30	120.58	CHN	60	80	90	110	140	170	200	240	290	430	620	730	780	850	950	1040	1121
Shenyang	China	41.8	123.38	CHN	2090	2450	2870	3300	3490	3700	3910	4240	4660	4630	4600	4720	4790	4950	5370	5810	6156
Shenzhen	China	22.55	114.1	CHN	170	190	220	240	270	300	340	500	880	2300	6070	7230	7580	8110	8950	9650	10196
Shijiazhuang	China	38.07	114.55	CHN	340	400	480	580	690	830	990	1170	1370	1630	1950	2280	2420	2630	2940	3200	3405
"Suining, Sichuan"	China	30.51	105.56	CHN	760	810	860	920	980	1040	1110	1180	1260	1300	1350	1400	1420	1480	1620	1770	1888
"Suzhou, Anhui"	China	33.61	117	CHN	60	70	90	100	120	150	180	220	260	620	1510	1850	1960	2140	2390	2610	2780
"Suzhou, Jiangsu"	China	31.3	120.6	CHN	460	490	520	550	580	620	660	740	880	1080	1330	1550	1650	1800	2010	2200	2343
"Taian, Shandong"	China	36.16	117.11	CHN	830	890	950	1010	1080	1160	1240	1320	1410	1470	1530	1600	1630	1700	1860	2020	2160
Taichung	China	24.14	120.67	CHN	190	240	290	360	440	540	590	660	750	840	930	1030	1080	1150	1280	1400	1499
Tainan	China	23.01	120.2	CHN	310	350	380	420	470	520	580	630	680	700	720	750	760	790	870	950	1021
Taipei	China	25.03	121.5	CHN	600	760	960	1230	1740	2020	2220	2450	2710	2680	2640	2610	2600	2650	2860	3100	3305
"Taiyuan, Shanxi"	China	37.89	112.55	CHN	630	790	990	1220	1360	1520	1700	1930	2220	2270	2520	2790	2910	3100	3430	3720	3962
"Tangshan, Hebei"	China	39.61	118.18	CHN	640	730	840	950	1050	1160	1280	1390	1480	1590	1700	1820	1880	1980	2180	2370	2526
Tianjin	China	39.12	117.18	CHN	2370	2930	3620	4330	4590	4870	5160	5470	5800	6250	6720	7040	7180	7470	8110	8740	9243
Tianmen	China	30.41	112.85	CHN	1070	1120	1160	1210	1260	1310	1370	1420	1480	1540	1610	1680	1710	1780	1940	2120	2261
Tianshui	China	34.58	105.73	CHN	160	210	260	330	420	520	660	830	1040	1090	1140	1200	1220	1280	1400	1530	1640
Tongliao	China	43.61	122.26	CHN	110	130	160	190	230	280	340	460	670	730	790	860	880	940	1040	1130	1215
Ürümqi (Wulumqi)	China	43.78	87.58	CHN	250	310	380	470	580	720	880	1030	1160	1420	1730	2020	2150	2340	2620	2850	3038
Weifang	China	36.71	119.1	CHN	180	220	270	320	390	470	570	780	1150	1260	1370	1500	1550	1650	1820	1980	2120
Wenzhou	China	27.99	120.65	CHN	260	280	320	350	390	440	490	540	600	1060	1840	2210	2350	2560	2860	3110	3313
Wuhan	China	30.57	114.27	CHN	1310	1510	1740	2010	2310	2670	3070	3460	3830	5050	6660	7090	7240	7540	8200	8840	9339
"Wuhu, Anhui"	China	31.33	118.35	CHN	210	240	270	300	340	390	440	490	550	620	690	770	810	870	970	1060	1138
"Wuxi, Jiangsu"	China	33	120	CHN	570	590	600	630	680	730	790	880	1010	1190	1410	1650	1750	1900	2130	2330	2481
Xiamen	China	24.46	118.07	CHN	210	240	280	320	360	420	480	560	640	1120	1980	2370	2520	2740	3060	3330	3545
"Xi'an, Shaanxi"	China	34.26	108.9	CHN	710	840	1010	1200	1440	1720	2050	2430	2870	3270	3720	3930	4010	4180	4560	4930	5233
"Xiangfan, Hubei"	China	30.4	114.88	CHN	100	120	150	180	210	250	300	370	490	650	860	1010	1070	1160	1310	1430	1533
Xiantao	China	30.38	113.4	CHN	1000	1040	1080	1120	1170	1210	1260	1310	1360	1420	1470	1530	1560	1620	1770	1930	2062
"Xianyang, Shaanxi"	China	34.35	108.71	CHN	100	130	170	220	280	350	450	580	740	840	950	1070	1130	1210	1350	1480	1584
"Xingyi, Guizhou"	China	24.53	104.31	CHN	280	310	340	370	410	450	490	540	590	650	720	780	820	870	960	1060	1133
Xining	China	36.64	101.76	CHN	260	290	330	370	420	480	540	620	700	770	850	990	1050	1140	1280	1400	1504
Xinxiang	China	35.3	113.86	CHN	240	270	300	340	380	430	480	550	610	690	770	860	900	970	1080	1180	1268
Xinyang	China	32.13	114.05	CHN	90	110	120	140	160	180	210	240	270	570	1200	1450	1540	1680	1880	2050	2192
Xinyu	China	27.79	114.92	CHN	230	260	300	340	380	420	480	540	610	680	770	870	910	980	1100	1200	1285
Xuanzhou	China	27.09	112.71	CHN	590	610	630	650	670	690	720	740	770	800	820	850	870	900	990	1080	1158
Xuzhou	China	34.26	117.16	CHN	340	400	460	530	600	670	740	840	940	1250	1650	1960	2090	2280	2560	2790	2975
"Yancheng, Jiangsu"	China	33.38	120.11	CHN	140	170	200	230	270	310	360	430	500	580	680	790	840	910	1030	1130	1209
Yantai	China	37.45	121.44	CHN	190	210	240	260	300	330	370	520	840	1190	1680	1990	2120	2300	2580	2800	2989
Yibin	China	28.76	104.61	CHN	80	100	110	140	160	190	230	360	680	740	800	870	900	950	1060	1160	1240
Yichang	China	30.7	111.28	CHN	110	130	160	190	230	280	340	410	490	590	700	820	880	950	1070	1170	1259
"Yichun, Heilongjiang"	China	47.73	128.9	CHN	550	590	620	660	700	740	780	830	880	850	820	780	780	780	850	930	997
"Yichun, Jiangxi"	China	27.8	114.38	CHN	340	380	440	500	580	660	760	820	840	880	920	960	980	1020	1130	1230	1320
Yinchuan	China	38.46	106.26	CHN	100	120	150	180	220	270	340	410	500	630	800	930	990	1080	1210	1330	1423
Yingkou	China	40.66	122.23	CHN	120	150	180	220	260	320	390	470	570	630	690	760	800	850	940	1030	1107
"Yiyang, Hunan"	China	28.58	112.33	CHN	400	450	510	570	650	730	830	940	1060	1140	1220	1310	1350	1420	1570	1710	1833
Yongzhou	China	26.21	111.61	CHN	840	850	860	880	890	900	920	930	950	960	980	990	1000	1030	1130	1230	1320
Yuci	China	37.68	112.73	CHN	90	100	120	150	180	210	250	330	470	560	660	780	840	920	1040	1140	1224
Yueyang	China	29.36	113.1	CHN	670	710	760	800	850	900	960	1020	1080	1000	920	850	830	820	880	960	1032
"Yulin, Guangxi"	China	22.63	110.15	CHN	190	230	260	310	360	420	490	570	670	780	910	1060	1130	1230	1380	1510	1613
Zaozhuang	China	34.86	117.55	CHN	280	360	450	560	710	900	1130	1420	1790	1890	1990	2100	2140	2240	2460	2670	2846
Zhangjiakou	China	40.81	114.88	CHN	300	340	380	420	470	520	580	650	720	800	900	1000	1050	1120	1250	1360	1461
Zhanjiang	China	21.2	110.4	CHN	410	460	510	580	650	730	830	930	1050	1180	1340	1510	1590	1710	1900	2080	2216
Zhaotong	China	27.31	103.71	CHN	130	160	190	220	270	320	380	470	620	670	720	780	810	860	950	1040	1113
Zhengzhou	China	34.75	113.64	CHN	520	650	810	990	1100	1230	1370	1540	1750	2080	2470	2590	2640	2740	2990	3240	3452
"Zhenjiang, Jiangsu"	China	32.2	119.41	CHN	90	110	130	160	200	260	320	390	490	580	690	800	850	930	1050	1150	1230
Zhuhai	China	22.27	113.56	CHN	40	50	60	70	90	100	120	190	330	520	810	960	1020	1110	1250	1370	1468
Zhuzhou	China	27.85	113.13	CHN	130	150	180	210	250	300	360	450	580	710	870	1020	1080	1180	1320	1440	1548
Zibo	China	36.78	118.05	CHN	1450	1550	1660	1780	1900	2030	2170	2320	2480	2640	2810	2980	3060	3210	3520	3810	4053
Zigong	China	29.4	104.78	CHN	560	600	650	690	740	800	850	910	980	1010	1050	1090	1100	1150	1260	1380	1473
Zunyi	China	27.68	106.9	CHN	200	220	240	260	280	300	330	360	390	520	680	800	850	920	1040	1140	1223
Barranquilla	Colombia	10.98	-74.8	COL	290	370	460	560	690	830	960	1110	1230	1360	1530	1720	1800	1910	2050	2160	2251
Bogotá	Colombia	4.63	-74.08	COL	630	890	1270	1780	2380	3040	3520	4090	4740	5490	6360	7350	7770	8320	8920	9300	9600
Bucaramanga	Colombia	7.11	-73.11	COL	110	140	190	250	320	410	470	550	650	760	860	960	1010	1070	1160	1220	1282
Cali	Colombia	3.45	-76.52	COL	230	330	470	660	850	1050	1190	1360	1550	1760	1950	2160	2250	2380	2540	2680	2786
Cartagena	Colombia	10.41	-75.53	COL	110	140	180	230	270	330	400	490	560	640	740	840	890	950	1030	1090	1139
Medellín	Colombia	6.24	-75.59	COL	380	520	730	990	1260	1540	1730	1950	2140	2370	2720	3130	3300	3520	3790	3980	4129
Brazzaville	Congo	-4.28	15.28	COG	80	90	120	170	240	330	450	600	700	830	990	1220	1360	1500	1730	1940	2150
Kananga	Democratic Republic of the Congo	-5.89	22.4	COD	20	50	140	250	420	370	330	310	370	470	560	700	760	880	1110	1380	1698
Kinshasa	Democratic Republic of the Congo	-4.32	15.29	COD	200	290	440	720	1070	1480	2050	2790	3450	4450	5480	7110	7840	9050	11310	13880	16762
Lubumbashi	Democratic Republic of the Congo	-11.68	27.54	COD	100	140	190	250	320	400	480	590	690	850	1000	1240	1350	1540	1940	2410	2943
Mbuji-Mayi	Democratic Republic of the Congo	-6.14	23.66	COD	70	100	140	190	260	330	410	510	610	770	930	1180	1300	1490	1880	2330	2851
San José	Costa Rica	9.93	-84.07	CRI	150	180	230	290	360	440	530	630	740	870	1030	1220	1280	1370	1510	1630	1737
La Habana	Cuba	23.04	-82.41	CUB	1120	1290	1440	1600	1780	1850	1910	2000	2110	2180	2190	2190	2170	2160	2150	2150	2150
Praha	Czech Republic	50.1	14.45	CZE	940	970	1000	1040	1080	1130	1180	1200	1210	1190	1170	1160	1160	1160	1160	1160	1159
Cotonou	Benin	6.35	2.43	BEN	20	30	70	110	160	240	340	410	500	580	640	720	760	840	1000	1200	1411
København	Denmark	55.71	12.54	DNK	1220	1230	1280	1370	1380	1170	1100	1060	1040	1050	1080	1080	1080	1090	1090	1100	1096
Santo Domingo	Dominican Republic	18.48	-69.89	DOM	220	310	450	610	830	1020	1240	1400	1520	1670	1850	2060	2150	2300	2520	2720	2885
Guayaquil	Ecuador	-2.2	-79.9	ECU	260	340	460	580	720	890	1120	1350	1570	1810	2080	2390	2510	2690	2940	3150	3328
Quito	Ecuador	-0.22	-78.52	ECU	210	260	320	400	500	630	780	940	1090	1220	1360	1590	1700	1850	2040	2190	2316
San Salvador	El Salvador	13.7	-89.2	SLV	190	250	310	390	500	600	700	820	970	1110	1230	1370	1430	1520	1650	1780	1902
Addis Ababa	Ethiopia	9.02	38.7	ETH	390	450	520	600	730	930	1180	1480	1790	2160	2490	2900	3100	3450	4180	5080	6156
Huambo	Angola	-12.76	15.73	AGO	20	20	40	50	60	100	150	230	330	440	580	780	870	1040	1310	1570	1824
Luanda	Angola	-8.81	13.23	AGO	140	170	220	320	460	660	960	1300	1570	1950	2590	3530	4000	4780	6040	7150	8236
Helsinki	Finland	60.19	24.97	FIN	370	400	450	480	510	580	670	720	870	940	1020	1090	1120	1140	1170	1200	1220
Bordeaux	France	44.84	-0.59	FRA	430	450	500	540	580	610	630	660	700	730	760	790	800	820	840	850	869
Lille	France	50.63	3.06	FRA	750	770	810	860	910	940	940	950	960	980	1010	1030	1040	1060	1080	1100	1120
Lyon	France	45.74	4.85	FRA	730	770	900	1030	1120	1170	1210	1240	1260	1310	1360	1410	1420	1440	1470	1500	1516
Marseille-Aix-en-Provence	France	43.28	5.38	FRA	760	800	930	1070	1180	1250	1300	1310	1300	1330	1360	1390	1400	1420	1440	1470	1490
Nice-Cannes	France	43.55	7.01	FRA	400	430	500	570	640	700	730	790	850	870	890	920	930	940	960	980	997
Paris	France	48.88	2.43	FRA	6520	6800	7410	7970	8350	8560	8670	8960	9330	9510	9690	9850	9900	9960	10010	10030	10036
Toulouse	France	43.59	1.43	FRA	270	280	350	410	470	510	530	580	650	710	780	830	850	860	880	900	916
Tbilisi	Georgia	41.72	44.78	GEO	610	660	720	800	900	990	1090	1180	1220	1160	1100	1090	1100	1110	1110	1110	1114
Berlin	Germany	52.51	13.32	DEU	3350	3300	3260	3230	3210	3130	3060	3060	3420	3470	3380	3390	3410	3420	3430	3440	3436
Hamburg	Germany	53.57	10.02	DEU	1610	1700	1810	1820	1790	1720	1650	1590	1640	1710	1710	1740	1760	1780	1790	1790	1792
Köln	Germany	50.94	6.93	DEU	600	680	790	830	850	910	970	920	950	960	960	980	1000	1040	1060	1060	1061
München	Germany	48.14	11.54	DEU	830	940	1060	1180	1290	1300	1300	1270	1220	1240	1200	1250	1280	1300	1320	1320	1318
Accra	Ghana	5.55	-0.2	GHA	180	260	390	500	630	740	860	1010	1200	1420	1670	1980	2120	2330	2690	3040	3382
Kumasi	Ghana	6.68	-1.62	GHA	100	150	220	280	350	400	450	530	700	910	1190	1520	1650	1830	2110	2390	2667
Athínai	Greece	37.94	23.65	GRC	1350	1560	1810	2120	2480	2740	2990	3050	3070	3120	3180	3230	3240	3260	3280	3300	3326
Thessaloniki	Greece	40.62	22.79	GRC	290	330	370	450	540	620	690	720	750	770	800	820	830	840	850	860	880
Baku	Azerbaijan	40.32	49.81	AZE	900	940	1000	1130	1270	1430	1570	1660	1730	1770	1810	1870	1890	1930	2010	2100	2187
Buenos Aires	Argentina	-34.62	-58.44	ARG	5100	5800	6600	7320	8100	8740	9420	9960	10510	11150	11850	12550	12800	13090	13430	13650	13768
Córdoba	Argentina	-31.31	-64.17	ARG	430	510	600	700	810	900	1010	1100	1200	1280	1350	1420	1450	1490	1560	1610	1645
Mendoza	Argentina	-32.89	-68.83	ARG	250	280	330	390	470	540	610	680	760	800	840	880	890	920	960	990	1020
Rosario	Argentina	-32.93	-60.66	ARG	550	610	670	740	820	880	950	1020	1080	1120	1150	1190	1200	1230	1280	1330	1360
San Miguel de Tucumán	Argentina	-26.82	-65.21	ARG	220	260	300	330	360	420	490	550	610	670	720	780	800	830	870	900	928
Ciudad de Guatemala (Guatemala City)	Guatemala	14.61	-90.52	GTM	290	370	480	590	660	720	750	780	800	840	910	980	1020	1100	1280	1480	1690
Conakry	Guinea	9.54	-13.67	GIN	30	60	110	210	390	530	660	770	900	1040	1220	1410	1490	1640	1980	2390	2856
Port-au-Prince	Haiti	18.52	-72.34	HTI	130	180	250	340	460	580	700	880	1130	1430	1650	1880	2000	2210	2620	3010	3346
Tegucigalpa	Honduras	14.09	-87.2	HND	70	100	130	170	220	290	370	470	580	680	790	900	950	1020	1160	1320	1472
